Formula,band_gap,MP ID,density,vpa,packing fraction
B2Se2O7,3.894,mp-558521,3.578819756,12.29734787,0.179045147
Sr5B3BrO9,3.899,mp-560233,4.145686868,15.45288497,0.682298215
Zr3GeO8,3.901,mp-27888,5.967645499,10.99827444,0.471400113
Ba4NaAl2B8(BrO6)3,3.908,mp-1197875,3.88007237,14.74640137,0.495955236
CaGaBO4,3.961,mp-557855,3.150618161,13.89983249,0.409289126
Sr5B3ClO9,3.964,mp-555203,3.963466296,15.12870719,0.688906368
LaGeBO5,4.03,mp-19957,5.03316086,12.46904686,0.464519475
Sr2Be2B2O7,4.079,mp-556498,3.593061783,11.62069986,0.583819412
Rb2Al2B2O7,4.079,mp-559284,2.942743347,15.56189494,0.675041311
K2Bi2(SO4)2Cl4,4.08,mp-23645,3.671306539,20.85852207,0.415204703
K3Ba3Li2Al4B6O20F ,4.101,mp-1195057,3.082515924,14.57154034,0.617668469
KSrCO3F,4.103,mp-865427,2.930426691,16.65361577,0.710161091
CsBa(BO2)3,4.112,mp-556936,3.717742855,16.18757317,0.721080287
Tm2Ge2O7,4.136,mp-14708,7.123839366,12.61143525,0.487252649
Rb5Li6(BO2)11,4.148,mp-1020620,2.760280593,12.85054396,0.701474128
Rb3Y2(BO3)3,4.168,mp-556206,3.83769054,15.54237539,0.86217106
Ba3Mg3(BO3)3F3,4.19,mp-1198065,4.21262047,13.48325375,0.652421055
BiB2O4F,4.191,mp-558753,5.988139831,10.87028724,0.304095917
B4PbO7,4.208,mp-9747,5.846993599,8.577705177,0.398826935
TlB3O5,4.222,mp-29155,4.79190285,12.19837524,0.37320205
Ca5B3O9F,4.236,mp-6632,2.814484589,12.97391554,0.593194738
BPPbO5,4.259,mp-21266,5.543477247,12.31824006,0.362411236
BAsO4,4.261,mp-3277,3.61799956,11.45351376,0.182799533
Ba3Sr4B3O9F5,4.352,mp-1182538,4.713951337,15.17480621,0.761703616
